review_id,category,verified_purchase,stars,review_text
R0000121,electronics,0,5,Five stars. Easy to use and the setup is solid.
R0000122,electronics,1,3,It’s okay. The battery life is fine but nothing special.
R0000123,electronics,0,5,Love it — charging is great and it works as expected.
R0000124,home,1,3,Decent overall. The delivery could be better.
R0000125,home,0,4,Surprisingly good. The size exceeded my expectations.
R0000126,fitness,0,2,One star. The grip was misleading in the description.
R0000127,home,1,4,Five stars. Easy to use and the quality is solid.
R0000128,home,1,4,Five stars. Easy to use and the delivery is solid.
R0000129,beauty,1,2,One star. The value was misleading in the description.
R0000130,electronics,1,1,Poor quality. The charging is frustrating to deal with.
R0000131,beauty,1,4,Great value. Fast shipping and the value is excellent.
R0000132,home,1,2,Poor quality. The quality is frustrating to deal with.
R0000133,fitness,0,5,Love it — durable is great and it works as expected.
R0000134,fitness,1,1,One star. The workout was misleading in the description.
R0000135,electronics,1,3,It’s okay. The sound quality is fine but nothing special.
R0000136,electronics,1,4,Love it — bluetooth is great and it works as expected.
R0000137,beauty,1,5,Five stars. Easy to use and the irritation is solid.
R0000138,pet,0,5,Surprisingly good. The taste exceeded my expectations.
R0000139,electronics,1,4,Surprisingly good. The setup exceeded my expectations.
R0000140,fitness,1,5,Surprisingly good. The fit exceeded my expectations.
R0000141,beauty,0,3,It’s okay. The hydrating is fine but nothing special.
R0000142,beauty,0,2,Not worth it. The irritation failed after a week.
R0000143,home,1,2,Not worth it. The delivery failed after a week.
R0000144,home,0,1,One star. The instructions was misleading in the description.
R0000145,home,1,5,Surprisingly good. The delivery exceeded my expectations.
R0000146,fitness,1,4,Five stars. Easy to use and the durable is solid.
R0000147,beauty,0,5,Five stars. Easy to use and the scent is solid.
R0000148,home,0,2,Disappointed — the packaging is not good and support was unhelpful.
R0000149,electronics,1,1,Not worth it. The charging failed after a week.
R0000150,electronics,1,4,Love it — battery life is great and it works as expected.
R0000151,beauty,1,5,Love it — value is great and it works as expected.
R0000152,home,1,4,Great value. Fast shipping and the quality is excellent.
R0000153,home,1,1,One star. The size was misleading in the description.
R0000154,beauty,1,4,Love it — scent is great and it works as expected.
R0000155,home,1,2,Disappointed — the quality is not good and support was unhelpful.
R0000156,beauty,0,4,Five stars. Easy to use and the scent is solid.
R0000157,beauty,1,2,Poor quality. The value is frustrating to deal with.
R0000158,pet,0,3,It’s okay. The my cat is fine but nothing special.
R0000159,beauty,1,4,Great value. Fast shipping and the scent is excellent.
R0000160,electronics,1,3,Decent overall. The sound quality could be better.
R0000161,electronics,1,5,Great value. Fast shipping and the sound quality is excellent.
R0000162,fitness,1,5,Love it — fit is great and it works as expected.
R0000163,pet,1,5,Surprisingly good. The my cat exceeded my expectations.
R0000164,pet,0,5,Love it — taste is great and it works as expected.
R0000165,beauty,1,4,Great value. Fast shipping and the texture is excellent.
R0000166,beauty,1,5,Five stars. Easy to use and the texture is solid.
R0000167,electronics,1,5,Surprisingly good. The battery life exceeded my expectations.
R0000168,fitness,1,3,It’s okay. The sweat is fine but nothing special.
R0000169,fitness,1,2,One star. The comfort was misleading in the description.
R0000170,beauty,1,5,Great value. Fast shipping and the texture is excellent.
R0000171,electronics,1,5,Surprisingly good. The setup exceeded my expectations.
R0000172,fitness,1,4,Love it — fit is great and it works as expected.
R0000173,pet,1,4,Love it — my dog is great and it works as expected.
R0000174,fitness,0,5,Great value. Fast shipping and the sweat is excellent.
R0000175,fitness,0,5,Five stars. Easy to use and the comfort is solid.
R0000176,home,0,5,Great value. Fast shipping and the instructions is excellent.
R0000177,home,1,5,Love it — instructions is great and it works as expected.
R0000178,pet,0,5,Surprisingly good. The training exceeded my expectations.
R0000179,beauty,0,5,Five stars. Easy to use and the irritation is solid.
R0000180,electronics,1,5,Great value. Fast shipping and the battery life is excellent.
R0000181,beauty,0,1,Poor quality. The irritation is frustrating to deal with.
R0000182,beauty,1,5,Great value. Fast shipping and the value is excellent.
R0000183,home,1,5,Surprisingly good. The quality exceeded my expectations.
R0000184,pet,1,3,Average. The training meets the basics.
R0000185,fitness,0,5,Surprisingly good. The workout exceeded my expectations.
R0000186,fitness,1,1,Poor quality. The fit is frustrating to deal with.
R0000187,beauty,1,3,It’s okay. The value is fine but nothing special.
R0000188,beauty,1,4,Love it — scent is great and it works as expected.
R0000189,pet,1,5,Five stars. Easy to use and the my dog is solid.
R0000190,beauty,1,3,Average. The hydrating meets the basics.
R0000191,fitness,1,1,Disappointed — the workout is not good and support was unhelpful.
R0000192,home,1,4,Five stars. Easy to use and the size is solid.
R0000193,fitness,0,4,Great value. Fast shipping and the comfort is excellent.
R0000194,beauty,1,4,Love it — hydrating is great and it works as expected.
R0000195,fitness,1,4,Five stars. Easy to use and the fit is solid.
R0000196,electronics,1,4,Love it — screen is great and it works as expected.
R0000197,electronics,0,3,Decent overall. The setup could be better.
R0000198,fitness,0,5,Surprisingly good. The fit exceeded my expectations.
R0000199,electronics,1,5,Five stars. Easy to use and the sound quality is solid.
R0000200,electronics,1,2,One star. The screen was misleading in the description.
R0000201,home,1,5,Five stars. Easy to use and the delivery is solid.
R0000202,home,1,4,Surprisingly good. The assembly exceeded my expectations.
R0000203,fitness,0,5,Love it — workout is great and it works as expected.
R0000204,home,1,1,Not worth it. The quality failed after a week.
R0000205,fitness,1,4,Great value. Fast shipping and the grip is excellent.
R0000206,pet,1,4,Great value. Fast shipping and the ingredients is excellent.
R0000207,beauty,0,4,Great value. Fast shipping and the value is excellent.
R0000208,home,0,5,Five stars. Easy to use and the size is solid.
R0000209,home,1,4,Love it — size is great and it works as expected.
R0000210,electronics,1,4,Great value. Fast shipping and the battery life is excellent.
R0000211,fitness,0,5,Five stars. Easy to use and the comfort is solid.
R0000212,electronics,1,4,Five stars. Easy to use and the setup is solid.
R0000213,electronics,1,5,Surprisingly good. The charging exceeded my expectations.
R0000214,pet,1,4,Five stars. Easy to use and the ingredients is solid.
R0000215,electronics,1,5,Love it — battery life is great and it works as expected.
R0000216,fitness,1,3,It’s okay. The comfort is fine but nothing special.
R0000217,electronics,1,5,Surprisingly good. The sound quality exceeded my expectations.
R0000218,home,1,2,Not worth it. The assembly failed after a week.
R0000219,home,0,3,It’s okay. The assembly is fine but nothing special.
R0000220,fitness,0,5,Surprisingly good. The durable exceeded my expectations.
R0000221,home,0,5,Love it — size is great and it works as expected.
R0000222,pet,1,5,Surprisingly good. The training exceeded my expectations.
R0000223,beauty,0,4,Great value. Fast shipping and the value is excellent.
R0000224,home,1,5,Surprisingly good. The assembly exceeded my expectations.
R0000225,fitness,1,5,Five stars. Easy to use and the durable is solid.
R0000226,home,1,5,Great value. Fast shipping and the packaging is excellent.
R0000227,home,1,5,Five stars. Easy to use and the size is solid.
R0000228,electronics,1,5,Surprisingly good. The sound quality exceeded my expectations.
R0000229,beauty,1,4,Five stars. Easy to use and the texture is solid.
R0000230,beauty,0,5,Five stars. Easy to use and the texture is solid.
R0000231,beauty,1,5,Great value. Fast shipping and the irritation is excellent.
R0000232,fitness,0,2,Not worth it. The comfort failed after a week.
R0000233,home,1,4,Love it — size is great and it works as expected.
R0000234,pet,1,3,It’s okay. The my cat is fine but nothing special.
R0000235,home,1,4,Five stars. Easy to use and the size is solid.
R0000236,electronics,0,5,Great value. Fast shipping and the battery life is excellent.
R0000237,pet,1,5,Five stars. Easy to use and the smell is solid.
R0000238,fitness,1,5,Five stars. Easy to use and the sweat is solid.
R0000239,pet,0,5,Love it — training is great and it works as expected.
R0000240,fitness,1,3,Decent overall. The workout could be better.
R0000241,fitness,1,5,Love it — grip is great and it works as expected.
R0000242,beauty,1,5,Great value. Fast shipping and the texture is excellent.
R0000243,home,1,4,Five stars. Easy to use and the instructions is solid.
R0000244,fitness,1,4,Five stars. Easy to use and the grip is solid.
R0000245,electronics,1,2,Disappointed — the charging is not good and support was unhelpful.
R0000246,home,1,5,Great value. Fast shipping and the size is excellent.
R0000247,beauty,1,2,Not worth it. The value failed after a week.
R0000248,home,1,1,Poor quality. The packaging is frustrating to deal with.
R0000249,beauty,0,5,Great value. Fast shipping and the texture is excellent.
R0000250,pet,1,4,Five stars. Easy to use and the smell is solid.
R0000251,home,1,1,Not worth it. The quality failed after a week.
R0000252,fitness,0,2,Not worth it. The grip failed after a week.
R0000253,home,1,5,Surprisingly good. The quality exceeded my expectations.
R0000254,fitness,1,4,Surprisingly good. The workout exceeded my expectations.
R0000255,fitness,0,4,Great value. Fast shipping and the grip is excellent.
R0000256,home,1,4,Surprisingly good. The size exceeded my expectations.
R0000257,home,1,4,Great value. Fast shipping and the assembly is excellent.
R0000258,electronics,1,5,Five stars. Easy to use and the sound quality is solid.
R0000259,home,0,5,Great value. Fast shipping and the assembly is excellent.
R0000260,electronics,0,5,Great value. Fast shipping and the sound quality is excellent.
R0000261,home,1,4,Five stars. Easy to use and the packaging is solid.
R0000262,beauty,1,4,Love it — hydrating is great and it works as expected.
R0000263,fitness,1,5,Surprisingly good. The fit exceeded my expectations.
R0000264,pet,1,3,It’s okay. The training is fine but nothing special.
R0000265,fitness,1,4,Love it — durable is great and it works as expected.
R0000266,home,1,4,Surprisingly good. The quality exceeded my expectations.
R0000267,pet,1,5,Surprisingly good. The taste exceeded my expectations.
R0000268,pet,1,5,Five stars. Easy to use and the smell is solid.
R0000269,fitness,1,5,Five stars. Easy to use and the comfort is solid.
R0000270,beauty,1,4,Love it — skin is great and it works as expected.
R0000271,pet,1,5,Five stars. Easy to use and the my cat is solid.
R0000272,pet,1,5,Love it — ingredients is great and it works as expected.
R0000273,beauty,1,4,Great value. Fast shipping and the irritation is excellent.
R0000274,home,0,5,Love it — assembly is great and it works as expected.
R0000275,electronics,0,5,Five stars. Easy to use and the sound quality is solid.
R0000276,fitness,1,4,Great value. Fast shipping and the durable is excellent.
R0000277,home,1,4,Surprisingly good. The assembly exceeded my expectations.
R0000278,pet,1,1,One star. The ingredients was misleading in the description.
R0000279,beauty,1,2,Poor quality. The texture is frustrating to deal with.
R0000280,electronics,1,4,Five stars. Easy to use and the sound quality is solid.
R0000281,beauty,1,4,Love it — hydrating is great and it works as expected.
R0000282,electronics,1,5,Love it — setup is great and it works as expected.
R0000283,electronics,1,3,Decent overall. The charging could be better.
R0000284,electronics,0,5,Surprisingly good. The setup exceeded my expectations.
R0000285,home,1,5,Surprisingly good. The size exceeded my expectations.
R0000286,beauty,1,4,Great value. Fast shipping and the skin is excellent.
R0000287,home,1,4,Love it — packaging is great and it works as expected.
R0000288,electronics,1,5,Surprisingly good. The setup exceeded my expectations.
R0000289,electronics,0,4,Love it — screen is great and it works as expected.
R0000290,home,1,4,Five stars. Easy to use and the assembly is solid.
R0000291,fitness,0,4,Great value. Fast shipping and the durable is excellent.
R0000292,fitness,1,5,Surprisingly good. The durable exceeded my expectations.
R0000293,home,1,2,Poor quality. The size is frustrating to deal with.
R0000294,fitness,1,4,Surprisingly good. The durable exceeded my expectations.
R0000295,pet,0,5,Surprisingly good. The my dog exceeded my expectations.
R0000296,pet,1,1,Poor quality. The smell is frustrating to deal with.
R0000297,electronics,0,5,Great value. Fast shipping and the charging is excellent.
R0000298,fitness,0,2,Poor quality. The grip is frustrating to deal with.
R0000299,beauty,0,1,Poor quality. The texture is frustrating to deal with.
R0000300,home,1,5,Great value. Fast shipping and the quality is excellent.
R0000301,electronics,1,4,Love it — bluetooth is great and it works as expected.
R0000302,beauty,1,4,Five stars. Easy to use and the value is solid.
R0000303,electronics,1,3,Decent overall. The bluetooth could be better.
R0000304,home,1,4,Love it — size is great and it works as expected.
R0000305,electronics,0,3,It’s okay. The screen is fine but nothing special.
R0000306,fitness,1,3,It’s okay. The grip is fine but nothing special.
R0000307,home,1,2,Not worth it. The quality failed after a week.
R0000308,home,1,4,Surprisingly good. The packaging exceeded my expectations.
R0000309,home,1,5,Surprisingly good. The delivery exceeded my expectations.
R0000310,fitness,0,5,Great value. Fast shipping and the sweat is excellent.
R0000311,beauty,0,5,Love it — hydrating is great and it works as expected.
R0000312,beauty,1,1,One star. The irritation was misleading in the description.
R0000313,home,1,5,Five stars. Easy to use and the size is solid.
R0000314,pet,1,4,Love it — taste is great and it works as expected.
R0000315,beauty,1,5,Love it — hydrating is great and it works as expected.
R0000316,electronics,1,4,Great value. Fast shipping and the screen is excellent.
R0000317,home,1,5,Surprisingly good. The size exceeded my expectations.
R0000318,beauty,0,1,Disappointed — the texture is not good and support was unhelpful.
R0000319,pet,1,5,Surprisingly good. The ingredients exceeded my expectations.
R0000320,electronics,1,3,Average. The screen meets the basics.
R0000321,pet,1,3,Average. The taste meets the basics.
R0000322,fitness,1,4,Love it — comfort is great and it works as expected.
R0000323,beauty,1,4,Love it — texture is great and it works as expected.
R0000324,fitness,0,4,Love it — grip is great and it works as expected.
R0000325,pet,1,1,One star. The my dog was misleading in the description.
R0000326,home,1,1,Poor quality. The packaging is frustrating to deal with.
R0000327,beauty,1,4,Surprisingly good. The irritation exceeded my expectations.
R0000328,home,0,4,Surprisingly good. The assembly exceeded my expectations.
R0000329,electronics,1,5,Surprisingly good. The setup exceeded my expectations.
R0000330,fitness,0,4,Great value. Fast shipping and the sweat is excellent.
R0000331,home,1,4,Great value. Fast shipping and the assembly is excellent.
R0000332,beauty,1,4,Love it — irritation is great and it works as expected.
R0000333,beauty,1,4,Surprisingly good. The skin exceeded my expectations.
R0000334,beauty,1,4,Five stars. Easy to use and the scent is solid.
R0000335,fitness,1,2,Poor quality. The fit is frustrating to deal with.
R0000336,pet,0,4,Great value. Fast shipping and the ingredients is excellent.
R0000337,fitness,1,5,Surprisingly good. The workout exceeded my expectations.
R0000338,fitness,1,1,One star. The comfort was misleading in the description.
R0000339,beauty,1,1,Not worth it. The texture failed after a week.
R0000340,electronics,0,4,Love it — bluetooth is great and it works as expected.
R0000341,pet,1,1,Not worth it. The ingredients failed after a week.
R0000342,pet,1,4,Surprisingly good. The my dog exceeded my expectations.
R0000343,home,1,3,It’s okay. The quality is fine but nothing special.
R0000344,electronics,1,5,Love it — sound quality is great and it works as expected.
R0000345,electronics,1,4,Love it — battery life is great and it works as expected.
R0000346,pet,1,2,Disappointed — the ingredients is not good and support was unhelpful.
R0000347,beauty,1,4,Love it — value is great and it works as expected.
R0000348,pet,1,4,Five stars. Easy to use and the my dog is solid.
R0000349,fitness,0,4,Surprisingly good. The comfort exceeded my expectations.
R0000350,electronics,1,5,Great value. Fast shipping and the sound quality is excellent.
R0000351,home,1,5,Great value. Fast shipping and the assembly is excellent.
R0000352,fitness,1,4,Great value. Fast shipping and the sweat is excellent.
R0000353,beauty,1,4,Great value. Fast shipping and the texture is excellent.
R0000354,pet,1,5,Great value. Fast shipping and the taste is excellent.
R0000355,fitness,0,1,Disappointed — the grip is not good and support was unhelpful.
R0000356,fitness,1,2,Not worth it. The comfort failed after a week.
R0000357,beauty,0,5,Five stars. Easy to use and the irritation is solid.
R0000358,pet,1,4,Great value. Fast shipping and the ingredients is excellent.
R0000359,fitness,0,4,Love it — grip is great and it works as expected.
R0000360,pet,1,5,Love it — my dog is great and it works as expected.
R0000361,home,1,5,Five stars. Easy to use and the delivery is solid.
R0000362,electronics,1,4,Love it — bluetooth is great and it works as expected.
R0000363,beauty,1,4,Surprisingly good. The texture exceeded my expectations.
R0000364,beauty,1,4,Surprisingly good. The scent exceeded my expectations.
R0000365,fitness,0,5,Love it — sweat is great and it works as expected.
R0000366,fitness,1,2,Not worth it. The fit failed after a week.
R0000367,home,0,5,Great value. Fast shipping and the instructions is excellent.
R0000368,beauty,0,5,Love it — texture is great and it works as expected.
R0000369,beauty,1,4,Surprisingly good. The scent exceeded my expectations.
R0000370,fitness,1,4,Surprisingly good. The sweat exceeded my expectations.
R0000371,beauty,1,4,Five stars. Easy to use and the irritation is solid.
R0000372,home,1,1,Disappointed — the assembly is not good and support was unhelpful.
R0000373,electronics,1,4,Five stars. Easy to use and the setup is solid.
R0000374,electronics,1,2,Disappointed — the battery life is not good and support was unhelpful.
R0000375,pet,1,5,Love it — my dog is great and it works as expected.
R0000376,home,1,2,Not worth it. The assembly failed after a week.
R0000377,beauty,0,5,Great value. Fast shipping and the skin is excellent.
R0000378,electronics,0,5,Surprisingly good. The setup exceeded my expectations.
R0000379,fitness,1,4,Surprisingly good. The grip exceeded my expectations.
R0000380,pet,0,5,Five stars. Easy to use and the taste is solid.
R0000381,home,0,5,Surprisingly good. The assembly exceeded my expectations.
R0000382,beauty,1,1,Poor quality. The hydrating is frustrating to deal with.
R0000383,pet,1,5,Five stars. Easy to use and the my cat is solid.
R0000384,beauty,1,2,One star. The texture was misleading in the description.
R0000385,home,0,3,It’s okay. The delivery is fine but nothing special.
R0000386,pet,1,5,Love it — ingredients is great and it works as expected.
R0000387,home,1,2,Disappointed — the instructions is not good and support was unhelpful.
R0000388,electronics,0,1,Disappointed — the setup is not good and support was unhelpful.
R0000389,pet,0,5,Love it — training is great and it works as expected.
R0000390,electronics,1,4,Great value. Fast shipping and the battery life is excellent.
R0000391,pet,1,4,Great value. Fast shipping and the my dog is excellent.
R0000392,home,1,2,One star. The quality was misleading in the description.
R0000393,electronics,1,5,Great value. Fast shipping and the setup is excellent.
R0000394,home,1,5,Five stars. Easy to use and the instructions is solid.
R0000395,beauty,1,5,Great value. Fast shipping and the scent is excellent.
R0000396,pet,0,3,It’s okay. The taste is fine but nothing special.
R0000397,home,0,4,Five stars. Easy to use and the assembly is solid.
R0000398,electronics,1,4,Love it — screen is great and it works as expected.
R0000399,beauty,1,3,It’s okay. The scent is fine but nothing special.
R0000400,home,1,4,Love it — instructions is great and it works as expected.
R0000401,electronics,1,5,Five stars. Easy to use and the setup is solid.
R0000402,pet,1,4,Five stars. Easy to use and the my cat is solid.
R0000403,pet,1,4,Five stars. Easy to use and the my cat is solid.
R0000404,pet,0,4,Surprisingly good. The training exceeded my expectations.
R0000405,pet,1,4,Love it — taste is great and it works as expected.
R0000406,beauty,1,4,Great value. Fast shipping and the skin is excellent.
R0000407,home,1,5,Love it — quality is great and it works as expected.
R0000408,home,1,5,Great value. Fast shipping and the assembly is excellent.
R0000409,beauty,1,3,Decent overall. The hydrating could be better.
R0000410,electronics,0,5,Surprisingly good. The charging exceeded my expectations.
R0000411,fitness,1,5,Five stars. Easy to use and the workout is solid.
R0000412,home,1,4,Great value. Fast shipping and the quality is excellent.
R0000413,fitness,1,4,Great value. Fast shipping and the fit is excellent.
R0000414,home,1,2,One star. The instructions was misleading in the description.
R0000415,electronics,0,4,Five stars. Easy to use and the bluetooth is solid.
R0000416,electronics,1,4,Surprisingly good. The charging exceeded my expectations.
R0000417,beauty,1,3,It’s okay. The texture is fine but nothing special.
R0000418,home,1,5,Great value. Fast shipping and the size is excellent.
R0000419,home,1,5,Great value. Fast shipping and the quality is excellent.
R0000420,home,1,5,Love it — quality is great and it works as expected.
R0000421,electronics,0,2,Disappointed — the sound quality is not good and support was unhelpful.
R0000422,home,0,4,Surprisingly good. The delivery exceeded my expectations.
R0000423,electronics,0,4,Five stars. Easy to use and the battery life is solid.
R0000424,electronics,1,5,Five stars. Easy to use and the bluetooth is solid.
R0000425,electronics,1,3,Decent overall. The setup could be better.
R0000426,fitness,1,5,Surprisingly good. The workout exceeded my expectations.
R0000427,home,0,5,Great value. Fast shipping and the packaging is excellent.
R0000428,fitness,1,2,One star. The comfort was misleading in the description.
R0000429,home,1,5,Great value. Fast shipping and the assembly is excellent.
R0000430,beauty,1,5,Five stars. Easy to use and the scent is solid.
R0000431,fitness,1,5,Love it — comfort is great and it works as expected.
R0000432,beauty,1,5,Surprisingly good. The texture exceeded my expectations.
R0000433,pet,1,5,Great value. Fast shipping and the ingredients is excellent.
R0000434,home,1,3,Decent overall. The size could be better.
R0000435,electronics,1,5,Surprisingly good. The charging exceeded my expectations.
R0000436,fitness,0,2,Disappointed — the durable is not good and support was unhelpful.
R0000437,beauty,1,5,Five stars. Easy to use and the texture is solid.
R0000438,fitness,0,3,Average. The workout meets the basics.
R0000439,pet,1,2,Poor quality. The training is frustrating to deal with.
R0000440,electronics,1,3,It’s okay. The sound quality is fine but nothing special.
R0000441,home,1,5,Love it — size is great and it works as expected.
R0000442,beauty,0,5,Great value. Fast shipping and the skin is excellent.
R0000443,beauty,1,3,Average. The hydrating meets the basics.
R0000444,fitness,0,5,Great value. Fast shipping and the comfort is excellent.
